CHANNEL,ONHANDDATE,DITRIB,ITEMCODE,PRODUCTCODE1,QTY,VALUE,COST,SELLINGPRICE,WARE,SALESCHANNEL,BUSCHANNEL,PRODCHANNEL,STKTYPE,ITEMDESCRIPTION,COMBINEPACKING,EXPDATE
LSH,20250825,5052026,12135773,12135773,2144,24656.0,0,0,M,11,13,,,BUITONI Coulis de Tomate,6x3kg,20260820
LSH,20250825,5052026,12150002,12150002,1034,9037.16,0,0,M,11,13,,,MAGGI Chicken SEA Powder (Premium Recipe),6x1kg,20260820
LSH,20250825,5052026,12211687,12211687,6,33.12,0,0,M,11,13,,,MAGGI Panggang BBQ Sauce,6x1.2Kg,20260820
LSH,20250825,5052026,12228199,12228199,439,6728.7725,0,0,M,11,13,,,NESCAFE CLASSIC Refill Pack,12x500g,20260820
LSH,20250825,5052026,12231574,12231574,2,417.9,0,0,M,11,13,,,NESTEA Green Tea,2(10x100g),20260820
LSH,20250825,5052026,12274608,12274608,44,374.036646290359,0,0,M,11,13,,,MILO ACTIV GO Pouch HCS,12x1.2kg,20260820
LSH,20250825,5052026,12496028,12496028,954,3949.56,0,0,M,11,13,,,COFFEE MATE Coffee Creamer,12x1kg,20260820
LSH,20250825,5052026,12252129,12252129,528,435.40315789473686,0,0,M,11,13,,,MILO ACTIV,GO RTD Hi Cal FCB  24x240ml,20260820
LSH,20250825,5052026,12267861,12267861,312,261.04104,0,0,M,11,13,,,NESCAFE Mocha Can N4 SG,24x240ml,20260820
LSH,20250825,5052026,12145355,12145355,195,3396.0720502286185,0,0,M,11,13,,,NESCAFE High Roast,12x250g,20260820
LSH,20250825,5052026,12258140,12258140,2335,26294.02339722181,0,0,M,11,13,,,MILO ACTIV GO Hot Mix Vending,12x1kg,20260820
LSH,20250825,5052026,12260177,12260177,330,3754.987567403122,0,0,M,11,13,,,NESTEA Matcha Latte Vending,24x500g,20260820
LSH,20250825,5052026,12422692,12422692,69,3554.838034883721,0,0,M,11,13,,,KIT KAT Professtional Spread Chocolate,5kg,20260820
LSH,20250825,5052026,12496849,12496849,267,3419.2070291095815,0,0,M,11,13,,,KIT KAT 4F Foil Wrap,12x(24x35g),20260820
LSH,20250825,5052026,12511771,12511771,163,854.7599109998702,0,0,M,11,13,,,NESTEA Brown Sugar Milk Tea,18x540g,20260820
LSH,20250825,5052026,12531785,12531785,120,735.3,0,0,M,11,13,,,MILO ACTIV GO GaoSiewDai MP,12(13x33g),20260820
LSH,20250825,5052026,12400388,12400388,136,410.7929831161899,0,0,M,11,13,,,MILO ACTIVGO UHT HCS MP 4(6x200ml) SG,MILO ACTIVGO UHT HCS MP 4(6x200ml) SG,20260820
LSH,20250825,5052026,12555622,12555622,226,920.9849157303377,0,0,M,11,13,,,NESTEA Pro House Blend Exp,12x200g,20260820
LSH,20250825,5052026,12559473,12559473,717,7374.942483763721,0,0,M,11,13,,,NESTLE BONUS Soya Bean Milk,12x920g,20260820
LSH,20250825,5052026,12563108,12563108,1,0.0,0,0,M,11,13,,,KIT KAT 4F Green Tea Foil Wrap,12x(24x35g),20260820
LSH,20250825,5052026,12569665,12569665,6,0.0,0,0,M,11,13,,,KITKAT Professional Spread,6x1kg,20260820
LSH,20250825,5052026,12575039,12575039,65,672.75,0,0,M,11,13,,,KIT KAT Crumble,16x500g,20260820
LSH,20250825,5052026,12591242,12591242,20,0.0,0,0,M,11,13,,,NESCAFE 3in1 Original Less Sugar Stick,24(30x14g),20260820
LSH,20250825,5052026,102097,102097,966,12353.529555412,0,0,M,11,13,,,NESTLE Complete Mix Hot Choclate,12x750g,20260820
LSH,20250825,5052026,12170273,12170273,814,6290.861088805675,0,0,M,11,13,,,MAGGI Concentrated Chicken Stock,6x1.2kg,20260820
LSH,20250825,5052026,12301983,12301983,112,1928.86848,0,0,M,11,13,,,EVERYDAY Milk Powder Softpack,10x1.2kg,20260820
LSH,20250825,5052026,12381900,12381900,13,43.85333333333329,0,0,M,11,13,,,MAGGI Lime Powder,15x350g,20260820
LSH,20250825,5052026,12456954,12456954,43,587.8816667054065,0,0,M,11,13,,,NESCAFE GOLD Jar,6x200g,20260820
LSH,20250825,5052026,12458098,12458098,727,10901.97083333331,0,0,M,11,13,,,MAGGI Coconut Milk Powder,12x1kg,20260820
LSH,20250825,5052026,12477894,12477894,120,128.25,0,0,M,11,13,,,MILO ACTIV GO Pet SG,24x500ml,20260820
LSH,20250825,5052026,12538897,12538897,294,12844.618428591646,0,0,M,11,13,,,SJORA Mango Peach Concentrated Reduced Sugar,2x4L,20260820
LSH,20250825,5052026,12538908,12538908,1206,11927.34,0,0,M,11,13,,,SJORA Mango Peach Concentrated Reduced Sugar,12x1L,20260820
LSH,20250825,5052026,12577370,12577370,180,207.0,0,0,M,11,13,,,MILO Nuggets,30x25g,20260820
LSH,20250825,5052026,12591243,12591243,11,55.8624,0,0,M,11,13,,,NESCAFE 3in1 Original Rich Stick,24(28x17.5g),20260820
LSH,20250825,5052026,12013765,12013765,881,1369.9245233442407,0,0,M,11,13,,,MAGGI Chilli Sauce,24x340g,20260820
LSH,20250825,5052026,12285909,12285909,1153,15254.189047038613,0,0,M,11,13,,,MILO ACTIV GO,6x1.8kg,20260820
LSH,20250825,5052026,12311751,12311751,1170,1453.2369558376708,0,0,M,11,13,,,MAGGI Tomato Ketchup,24x320g,20260820
LSH,20250825,5052026,12368588,12368588,24,305.5822,0,0,M,11,13,,,MILO Gao Siew Dai Vending,12x1kg,20260820
LSH,20250825,5052026,12488558,12488558,1509,9662.629667980102,0,0,M,11,13,,,MILO Liquid Triple Conc,12x1L,20260820
LSH,20250825,5052026,12424231,12424231,168,129.28999999999994,0,0,M,11,13,,,NESCAFE Coffee Original Can 24x240ml N4 SG,NESCAFE Coffee Original Can 24x240ml N4 SG,20260820
LSH,20250825,5052026,12540116,12540116,48,540.09,0,0,M,11,13,,,NESCAFE Salted Caramel Latte,16x1kg,20260820
LSH,20250825,5052026,12559225,12559225,36,135.78000000000011,0,0,M,11,13,,,NESTUM Original Cereal Drink Plain,12(12x28g),20260820
LSH,20250825,5052026,12561955,12561955,98,3678.92,0,0,M,11,13,,,KITKAT Professional Spread,3kg,20260820
LSH,20250825,5052026,12595284,12595284,18,127.51000000000002,0,0,M,11,13,,,NESCAFE 3in1 Original Stick,18(47x16.5g),20260820
LSH,20250825,5052026,1412650,1412650,768,1582.7180036448376,0,0,M,11,13,,,NESTLE Ster Cream 25% S2C001,48x170g,20260820
LSH,20250825,5052026,7805925,7805925,161,1475.296645300287,0,0,M,11,13,,,MAGGI Concentrate Vegetarian Stock,6x1.2kg,20260820
LSH,20250825,5052026,12123300,12123300,112,5141.919869071819,0,0,M,11,13,,,NESCAFE CLASSIC Stick MP,2(480x2g),20260820
LSH,20250825,5052026,12354430,12354430,411,3316.0849999999987,0,0,M,11,13,,,MAGGI Tomato Ketchup Can,6x3.3kg,20260820
LSH,20250825,5052026,12354448,12354448,824,7808.581328732501,0,0,M,11,13,,,MAGGI Chili Sauce,6x3.3kg,20260820
LSH,20250825,5052026,12492503,12492503,245,12036.849974034456,0,0,M,11,13,,,SJORA Lychee Berry BIB,2x4L,20260820
LSH,20250825,5052026,12496870,12496870,1230,1414.5,0,0,M,11,13,,,KIT KAT Bites,30x40g,20260820
LSH,20250825,5052026,12499331,12499331,326,2519.332096180333,0,0,M,11,13,,,KIT KAT 2F Foil Wrap,20x(24x17g),20260820
LSH,20250825,5052026,12528785,12528785,585,16522.350085969356,0,0,M,11,13,,,NESCAFE Espresso Whole Roasted Coffee Beans,6x1kg,20260820
LSH,20250825,5052026,12538067,12538067,600,3085.75000003226,0,0,M,11,13,,,NESCAFE CLASSIC Deluxe RP,24x200g,20260820
LSH,20250825,5052026,12550094,12550094,1289,15238.397007007348,0,0,M,11,13,,,NESCAFE White Coffee,16x1kg,20260820
LSH,20250825,5052026,12559233,12559233,72,327.24,0,0,M,11,13,,,NESTUM 3in1 Brown Rice MP,12(12x27g),20260820
LSH,20250825,5052026,12563264,12563264,2602,63150.53835059665,0,0,M,11,13,,,NESCAFE Alegria Delicate Pouch,12x250g,20260820
LSH,20250825,5052026,7806061,7806061,12,37.53466666666664,0,0,M,11,13,,,MAGGI Chilli Sauce,12x1.5kg,20260820
LSH,20250825,5052026,12162251,12162251,38,540.4740347994768,0,0,M,11,13,,,NESTLE Milano Semi Skimmed Milk Powder 15.5%,10x500g,20260820
LSH,20250825,5052026,12170272,12170272,122,4478.4165740364215,0,0,M,11,13,,,MAGGI Chef Master Stock,6x1.2kg,20260820
LSH,20250825,5052026,12210460,12210460,858,4736.16,0,0,M,11,13,,,NESTUM All Family Cereal Original,6x1kg,20260820
LSH,20250825,5052026,12324859,12324859,84,1194.7388,0,0,M,11,13,,,NESTLE All Dairy SMPdr,10x500g,20260820
LSH,20250825,5052026,12550095,12550095,431,5436.256965044142,0,0,M,11,13,,,NESTEA Teh Tarik,16x960g,20260820
LSH,20250825,5052026,12555634,12555634,358,1449.3033332952969,0,0,M,11,13,,,NESTLE Pro Lemonade Exp,12x200g,20260820
LSH,20250825,5052026,12556883,12556883,763,3587.052138039227,0,0,M,11,13,,,NESTEA Peach Tea,16x680g,20260820
LSH,20250825,5052026,12569716,12569716,1705,68754.12440947235,0,0,M,11,13,,,MILO Liquid Concentrate BIB,2x5L,20260820
LSH,20250825,5052026,12600894,12600894,352,500.65664,0,0,M,11,13,,,NESTLE SemiSkmd MPwdr 15.5% 10x500g XI,NESTLE SemiSkmd MPwdr 15.5% 10x500g XI,20260820
LSH,20250825,5052026,9121307,9121307,298,1946.441140087145,0,0,M,11,13,,,MAGGI Seasoning,6x800ml,20260820
LSH,20250825,5052026,12115422,12115422,135,1757.43,0,0,M,11,13,,,NESTEA Black Tea,10x100g,20260820
LSH,20250825,5052026,12183346,12183346,22,256.0433333333326,0,0,M,11,13,,,MAGGI Chef Secret,6x1kg,20260820
LSH,20250825,5052026,12199247,12199247,127,3958.59,0,0,M,11,13,,,NESPRAY Instant Softpack,6x1.8kg,20260820
LSH,20250825,5052026,12340523,12340523,6,355.8744,0,0,M,11,13,,,NESCAFE GOLD BLEND 360g,(200x1.8g),20260820
LSH,20250825,5052026,12380410,12380410,57,335.6349999998971,0,0,M,11,13,,,MAGGI Chicken Seasoning Powder (All Purpose),6x1kg,20260820
LSH,20250825,5052026,12496696,12496696,448,10637.760000002543,0,0,M,11,13,,,COFFEE MATE Stick Pack,2x(500x5g),20260820
LSH,20250825,5052026,12508061,12508061,441,1622.88,0,0,M,11,13,,,NESTLE Pink Lychee Lemonade Exp,12x200g,20260820
LSH,20250825,5052026,12528679,12528679,295,4567.58333331785,0,0,M,11,13,,,NESCAFE Excellente Whole Roasted Coffee Beans,12x500g,20260820
LSH,20250825,5052026,12461722,12461722,1290,1553.7956521739097,0,0,M,11,13,,,GERBER Apple Sauce,6x80g,20260820
LSH,20250825,5052026,12555619,12555619,47,224.85525233665,0,0,M,11,13,,,(OOS) NESTLE Pro Cucumber Lemonade Exp,12x200g,20260820
LSH,20250825,5052026,12568312,12568312,970,4104.994540136213,0,0,M,11,13,,,KIT KAT Bites Mix In,36x240g,20260820
LSH,20250825,5052026,44245755,44245755,2,231.58,0,0,M,11,13,,,COFFEE,MATE Creamer -30kg,20260820
LSH,20250825,5052026,12274607,12274607,179,1659.9382672755698,0,0,M,11,13,,,MILO 3in1 ACTIVGO HCS,12(30x27g),20260820
LSH,20250825,5052026,12523014,12523014,624,875.67792,0,0,M,11,13,,,STARBUCKS Doubleshot Esp Latte,24x220ml,20260820
LSH,20250825,5052026,7806062,7806062,467,1389.5117999999986,0,0,M,11,13,,,MAGGI Tomato Ketchup,12x1.5kg,20260820
